tag,beta,epsilon,N,T,mu,seed,variance,engagement,update_rate,bimodality,n_clusters
eps_sweep,0,0.1,100,4000,0.3,24,0.07433526672979396,0.746614007736836,0.182,0.2048348761465672,6
eps_sweep,0,0.1,100,4000,0.3,25,0.0805198263765277,0.7429872854119143,0.2255,0.21623500302425344,4
eps_sweep,0,0.1,100,4000,0.3,26,0.07772867171631366,0.7472785205016383,0.194,0.2189553334490599,5
eps_sweep,0,0.1,100,4000,0.3,27,0.06928997435546941,0.7526184972345238,0.24625,0.22176617637652896,6
eps_sweep,0,0.1,100,4000,0.3,28,0.08928254289348027,0.7247801276410609,0.22075,0.22029222441643526,7
eps_sweep,0,0.1,100,4000,0.3,29,0.07720064579076573,0.7451700298110832,0.22175,0.21539904678265973,6
eps_sweep,0,0.15,100,4000,0.3,0,0.059916657240934285,0.7713469895759609,0.30825,0.21709058678651832,5
eps_sweep,0,0.15,100,4000,0.3,1,0.051948495598721965,0.7866449985998536,0.3255,0.22307775798946194,5
eps_sweep,0,0.15,100,4000,0.3,2,0.07102811168938618,0.7571050000784464,0.32525,0.2229350998927401,3
eps_sweep,0,0.15,100,4000,0.3,3,0.07778782655862831,0.7495490635312826,0.3185,0.21341516072305852,4
eps_sweep,0,0.15,100,4000,0.3,4,0.06151550423112066,0.7739782037756686,0.36875,0.220841466941417,3
eps_sweep,0,0.15,100,4000,0.3,5,0.06311878828719154,0.7716764841237119,0.33325,0.20994856510753307,3
eps_sweep,0,0.15,100,4000,0.3,6,0.077811856242148,0.7500452184632593,0.33075,0.28159779894212844,3
eps_sweep,0,0.15,100,4000,0.3,7,0.06126497273593964,0.7864534635161426,0.42225,0.2932723169189084,3
eps_sweep,0,0.15,100,4000,0.3,8,0.06168720485361706,0.7704483698132004,0.31925,0.22122837198311635,5
eps_sweep,0,0.15,100,4000,0.3,9,0.07298650789753705,0.75566005419371,0.3235,0.23376724388975945,3
eps_sweep,0,0.15,100,4000,0.3,10,0.07965601833089242,0.7505867367945956,0.323,0.21514351520591393,3
eps_sweep,0,0.15,100,4000,0.3,11,0.07456718769846139,0.7523915814307922,0.30025,0.22241012019335338,7
eps_sweep,0,0.15,100,4000,0.3,12,0.06368413240571877,0.7624099492403098,0.27825,0.2024908623190111,4
eps_sweep,0,0.15,100,4000,0.3,13,0.057293266543375465,0.7895256409686277,0.407,0.22376046676651942,3
eps_sweep,0,0.15,100,4000,0.3,14,0.06927659387938308,0.7520657867735773,0.3125,0.21060506173405727,5
eps_sweep,0,0.15,100,4000,0.3,15,0.061640431665349736,0.762468679182584,0.3,0.22286372288333192,3
eps_sweep,0,0.15,100,4000,0.3,16,0.0681502644712438,0.7626937960509877,0.3335,0.2269079097008323,4
eps_sweep,0,0.15,100,4000,0.3,17,0.05606079104364496,0.7776235012912506,0.3775,0.2313423032247932,6
eps_sweep,0,0.15,100,4000,0.3,18,0.07178263501711225,0.7645995731601171,0.33825,0.1956150701840375,5
eps_sweep,0,0.15,100,4000,0.3,19,0.053856941427552714,0.7739393692431239,0.30275,0.21221512756516792,4
eps_sweep,0,0.15,100,4000,0.3,20,0.06517500363148365,0.7659666423126781,0.34125,0.19713018069207316,5
eps_sweep,0,0.15,100,4000,0.3,21,0.05638374542589267,0.7717514426653922,0.289,0.22366604091250436,5
eps_sweep,0,0.15,100,4000,0.3,22,0.05366359956151288,0.7780057107997281,0.356,0.18706007793181487,3
eps_sweep,0,0.15,100,4000,0.3,23,0.05642097065435321,0.7747176689611753,0.3675,0.23872102588738314,5
eps_sweep,0,0.15,100,4000,0.3,24,0.07171383617068997,0.7546071146125045,0.28325,0.2024529495984778,5
eps_sweep,0,0.15,100,4000,0.3,25,0.06388163800856281,0.7826106372155648,0.396,0.21653102580688088,3
eps_sweep,0,0.15,100,4000,0.3,26,0.05689264262499234,0.7781827751516115,0.33425,0.21671721564221413,3
eps_sweep,0,0.15,100,4000,0.3,27,0.06976296576655908,0.7573370152914823,0.33325,0.23677724126479607,3
eps_sweep,0,0.15,100,4000,0.3,28,0.07111500795578152,0.7621074849905792,0.31175,0.2134917761952981,4
eps_sweep,0,0.15,100,4000,0.3,29,0.056644063464114616,0.7880797189421019,0.3775,0.24426092656782156,4
eps_sweep,0,0.2,100,4000,0.3,0,0.06502927214007286,0.7823080883684228,0.46125,0.26908175935091705,3
eps_sweep,0,0.2,100,4000,0.3,1,0.05475802563134548,0.7969092074142307,0.48325,0.2685526502398974,4
eps_sweep,0,0.2,100,4000,0.3,2,0.05105893702590935,0.8011423509958016,0.48375,0.249040458340398,2
